regionId,value
AL,46.2346783
AK,69.6363623
AZ,54.7612169
AR,45.274231
CA,75.8951258
CO,56.6573522
CT,65.2486638
DE,56.6153464
FL,50.9613489
GA,55.1977668
HI,81.3255751
ID,41.6240486
IL,74.7551549
IN,42.2465305
IA,37.4177831
KS,43.5343049
KY,48.3290271
LA,44.8654527
ME,55.9677246
MD,71.4343959
MA,65.2541126
MI,50.8893091
MN,48.668916
MS,51.2336623
MO,46.5712976
MT,38.9819931
NE,43.4920692
NV,78.3141793
NH,57.5896474
NJ,61.840358
NM,79.5387424
NY,65.2321317
NC,62.5067266
ND,33.5659083
OH,44.196618
OK,37.8048061
OR,76.6504151
PA,47.654899
RI,49.4721087
SC,49.8756523
SD,29.6321632
TN,44.0324738
TX,52.778176
UT,40.1895979
VT,61.8190013
VA,61.7151106
WA,82.8536199
WV,48.2424395
WI,46.5282639
WY,36.0140031
