regionId,value,Party
AL,77.3598112,R
AK,84.3955762,R
AZ,82.3000662,D
AR,79.0483697,R
CA,90.0309956,D
CO,85.9050668,D
CT,92.4631702,D
DE,86.5309992,D
FL,82.8571047,R
GA,81.7714208,D
HI,93.5542231,D
ID,77.5230355,R
IL,86.7500822,D
IN,78.4835287,R
IA,78.7916448,R
KS,80.5169178,R
KY,80.6307145,R
LA,77.7828092,R
ME,85.0069653,D
MD,92.0251818,D
MA,92.0457114,D
MI,82.9009735,D
MN,86.2829093,D
MS,79.3500153,R
MO,79.4170525,R
MT,76.4104014,R
NE,82.6751654,R
NV,86.4201696,D
NH,86.6180338,D
NJ,91.2994051,D
NM,87.4868645,D
NY,89.6796834,D
NC,83.0366518,R
ND,78.4559126,R
OH,79.9444624,R
OK,77.1303263,R
OR,82.9291123,D
PA,84.4446186,D
RI,89.1569761,D
SC,82.0683742,R
SD,75.49461,R
TN,79.5596686,R
TX,83.583808,R
UT,85.78665,R
VT,88.2975941,D
VA,88.1175452,D
WA,88.3083285,D
WV,80.1187779,R
WI,82.224444,D
WY,72.2858216,R
